Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1961","1961","1000 US$","1170863","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1962","1962","1000 US$","1015697","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1963","1963","1000 US$","1205363","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1964","1964","1000 US$","1176168","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1965","1965","1000 US$","1235538","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1966","1966","1000 US$","1388103","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1967","1967","1000 US$","1277093","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1968","1968","1000 US$","1477159","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1969","1969","1000 US$","1751505","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1970","1970","1000 US$","1946376","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1971","1971","1000 US$","1916529","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1972","1972","1000 US$","2728014","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1973","1973","1000 US$","4154970","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1974","1974","1000 US$","4839397","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1975","1975","1000 US$","4838358","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1976","1976","1000 US$","6078647","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1977","1977","1000 US$","7519515","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1978","1978","1000 US$","6631027","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1979","1979","1000 US$","7055364","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1980","1980","1000 US$","9320919","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1981","1981","1000 US$","9622999","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1982","1982","1000 US$","8036972","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1983","1983","1000 US$","8992721","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1984","1984","1000 US$","10434752","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1985","1985","1000 US$","9422210","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1986","1986","1000 US$","7653994","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1987","1987","1000 US$","8540734","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1988","1988","1000 US$","8856513","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1989","1989","1000 US$","9525767","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1990","1990","1000 US$","8764216","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1991","1991","1000 US$","7962866","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1992","1992","1000 US$","9097777","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1993","1993","1000 US$","9698214","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1882","Agricultural Products","1994","1994","1000 US$","12556758","A","Aggregate, may include official, semi-official, estimated or calculated data"
