Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1961","1961","Head","1044000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1962","1962","Head","1083000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1963","1963","Head","1148000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1964","1964","Head","1225000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1965","1965","Head","1309000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1966","1966","Head","1368000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1967","1967","Head","1372000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1968","1968","Head","1426000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1969","1969","Head","1438000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1970","1970","Head","1420000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1971","1971","Head","1420450","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1972","1972","Head","1450000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1973","1973","Head","1480000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1974","1974","Head","1568000","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1975","1975","Head","1691000","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1976","1976","Head","1464000","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1977","1977","Head","1423000","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1978","1978","Head","1363000","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1979","1979","Head","1340000","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1980","1980","Head","1330000","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1981","1981","Head","1331000","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1982","1982","Head","1315672","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1983","1983","Head","1237372","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1984","1984","Head","1246471","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1985","1985","Head","1274299","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1986","1986","Head","1285754","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1987","1987","Head","1295036","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1988","1988","Head","1304119","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1989","1989","Head","1322156","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1990","1990","Head","1342826","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1991","1991","Head","1364199","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1992","1992","Head","1381401","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1993","1993","Head","1302374","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1994","1994","Head","1312698","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1995","1995","Head","1344155","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1996","1996","Head","1231893","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1997","1997","Head","1248507","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1998","1998","Head","1232750","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","1999","1999","Head","1236401","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2000","2000","Head","1242177","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2001","2001","Head","1239025","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2002","2002","Head","1217122","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2003","2003","Head","1208660","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2004","2004","Head","1196324","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2005","2005","Head","1191533","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2006","2006","Head","1187420","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2007","2007","Head","1163316","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2008","2008","Head","1130639","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2009","2009","Head","1030494","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2010","2010","Head","1001587","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2011","2011","Head","974688","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2012","2012","Head","902716","","Official data"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2013","2013","Head","915000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2014","2014","Head","927000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2015","2015","Head","908406","Im","FAO data based on imputation methodology"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2016","2016","Head","865079","Im","FAO data based on imputation methodology"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2017","2017","Head","836126","Im","FAO data based on imputation methodology"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2018","2018","Head","812361","Im","FAO data based on imputation methodology"
"QA","Live Animals","21","Brazil","5111","Stocks","1107","Asses","2019","2019","Head","788595","Im","FAO data based on imputation methodology"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1961","1961","No","310000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1962","1962","No","301600","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1963","1963","No","300000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1964","1964","No","311400","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1965","1965","No","316200","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1966","1966","No","317000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1967","1967","No","292000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1968","1968","No","282000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1969","1969","No","272000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1970","1970","No","253000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1971","1971","No","242376","","Official data"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1972","1972","No","237000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1973","1973","No","188000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1974","1974","No","165000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1975","1975","No","200000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1976","1976","No","220000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1977","1977","No","220000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1978","1978","No","257000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1979","1979","No","291000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1980","1980","No","280000","F","FAO estimate"
"QA","Live Animals","21","Brazil","5114","Stocks","1181","Beehives","1981","1981","No","300000","F","FAO estimate"
