Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1961","1961","index","14.54","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1962","1962","index","15.15","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1963","1963","index","15.1","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1964","1964","index","15.15","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1965","1965","index","17.69","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1966","1966","index","16.46","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1967","1967","index","17.73","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1968","1968","index","18.13","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1969","1969","index","18.83","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1970","1970","index","19.14","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1971","1971","index","20.21","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1972","1972","index","21.26","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1973","1973","index","20.81","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1974","1974","index","22.35","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1975","1975","index","22.96","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1976","1976","index","23.76","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1977","1977","index","25.39","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1978","1978","index","25.09","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1979","1979","index","26.54","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1980","1980","index","29.27","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1981","1981","index","30.69","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1982","1982","index","30.86","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1983","1983","index","31.24","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1984","1984","index","33.12","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1985","1985","index","36.05","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1986","1986","index","34.62","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1987","1987","index","38.2","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1988","1988","index","39.11","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1989","1989","index","40.68","Fc","Calculated data"
"QI","Production Indices","21","Brazil","432","Gross Production Index Number (2014-2016 = 100)","2051","Agriculture","1990","1990","index","38.95","Fc","Calculated data"
