Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1961","1961","1000 $","1760571","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1962","1962","1000 $","1416352","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1963","1963","1000 $","1980773","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1964","1964","1000 $","1302543","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1965","1965","1000 $","2159228","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1966","1966","1000 $","2541204","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1967","1967","1000 $","2254839","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1968","1968","1000 $","2851984","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1969","1969","1000 $","3022008","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1970","1970","1000 $","3542241","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1971","1971","1000 $","3668526","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1972","1972","1000 $","4517028","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1973","1973","1000 $","5046385","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1974","1974","1000 $","5862452","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1975","1975","1000 $","6641221","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1976","1976","1000 $","7441623","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1977","1977","1000 $","8166723","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1978","1978","1000 $","6193375","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1979","1979","1000 $","6018922","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1980","1980","1000 $","8080023","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1981","1981","1000 $","9858831","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1982","1982","1000 $","8828931","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1983","1983","1000 $","9965468","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1984","1984","1000 $","9824145","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1985","1985","1000 $","11087731","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1986","1986","1000 $","8147369","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1987","1987","1000 $","10020106","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1988","1988","1000 $","9560122","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1989","1989","1000 $","11457203","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1990","1990","1000 $","10541384","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1991","1991","1000 $","8746510","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1992","1992","1000 $","10994750","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1993","1993","1000 $","12303099","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1994","1994","1000 $","14137818","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1995","1995","1000 $","14969916","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricultural Products","1996","1996","1000 $","14584502","Fc","Calculated data"
